device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,ip_country,ip_city,ip_latitude,ip_longitude,ip_timezone,ip_network,ua_os,ua_os_version,ua_browser,ua_browser_version,ua_is_mobile
0e1cf08b-671a-4444-b937-05b673c24b02,1acbe4d89948868555abd139ccdab04654c409eb,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.54,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,0e8850c78293227dcc1e8b4d9c0a6d81176fe54c,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.54,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,fe1288df3bc7928972dae427805ff1f08cfc3b64,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.215,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,eb91d35d6e833d4d49476d751463b4cf949da5da,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.61,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,5e5d48e5e2f7e06f5529c1cb5c0ea473a8c2d8c9,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,109.197.204.205,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,3175635a6d7af05cad8541e2b2cf94d71edce530,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,109.197.204.225,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,222c68493139fe31f026aed519dd1fb35fa49e0d,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 79.0.3945,109.197.204.24,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,79.0.3945,
0e1cf08b-671a-4444-b937-05b673c24b02,46af4e1166f623e4115a80a3aa9a4a7aa23254a1,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 79.0.3945,109.197.204.24,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,79.0.3945,
0e1cf08b-671a-4444-b937-05b673c24b02,d8595210c22e0c24530901188f87bd085c2bd0d6,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 79.0.3945,109.197.204.24,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,79.0.3945,
0e1cf08b-671a-4444-b937-05b673c24b02,2f1fc573e9f113ca283f38e9bfa3b170d5bcc40c,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 79.0.3945,"213.87.137.131,109.197.204.91",Russia,Moscow,55.7487,37.6187,Europe/Moscow,213.87.136.0/21,Android,8.0.0,Chrome,79.0.3945,
